example_id,x,y,cluster_id,summary
0090d039-fb62-40bc-9d01-1de1cef8e917,7.491424,1.680855,13,"build an AI-powered engineering data question-answering system that can retrieve and summarize relevant information from a knowledge graph, and rewrite user questions into Cypher queries to search the graph."
00b04a19-44bc-4366-a894-97aedffe2e4f,10.124875,-0.72147465,12,"implement a voice chat application with the ability to select audio input and output devices, detect voice versus noise, and log relevant information about the voice packets and client connections."
00e303c8-d529-4137-9d00-16d8cd253ab8,7.9490776,1.3745955,4,"build a system that can access and analyze data from a construction cost management system, and generate code to retrieve and display relevant information based on the user's natural language queries."
033cb51b-2486-4930-ba1a-f581619d9cdf,9.314727,-2.2475011,2,learn how to implement long-term memory in an AI chatbot using LangChain and LangGraph.
0415fb0e-cc6b-4913-be11-5ddaf153b4d3,9.34192,-3.3103952,6,"help resolve an issue with installing or running the LangGraph CLI, which the user is unable to access due to a ""command not found"" error."
057ad650-eb4c-4acd-8bce-56f452bba443,7.517923,1.6414939,13,"implement a system that can answer questions about engineering data stored in a graph knowledge base, by extracting relevant information and rewriting the user's question into a query against the graph."
06c2dd43-a8d1-4a05-8633-8ad0cbb08f54,8.858042,-0.81853527,4,help them develop a full-stack web application based on agentic AI technology.
08374be4-b40a-43f3-9598-4d0fbf516972,9.135618,-1.064272,5,"help them understand how to disable or configure the ""think mode"" feature when using the ChatOpenAI interface to access the Qwen3 model."
0afd2097-30f5-4cf0-bcc5-6f8766f0fe17,9.725785,-2.4152899,2,provide Python code to chat with a website using LangChain and OpenAI.
0d52dc68-a89e-40e5-989d-120202707eeb,7.723355,-3.0050752,3,"learn how to switch from a development to a production deployment type on the LangGraph platform, as the deployment type cannot be changed after creation."
113f7b9d-81ef-480e-a6cb-d22ed5788568,7.698667,1.4300109,13,"build an AI-powered system that can understand natural language queries, retrieve relevant information from a knowledge base, and generate code to access engineering data, with the ability to handle multiple rounds of interaction and provide results to the user."
118b42b5-7e88-4c8c-9ac4-7eaa2dc29d69,10.216165,-2.4171207,10,"help them understand how to properly configure a LangChain agent to pass arguments to tool functions with the correct data types, rather than as strings."
124d6b32-02f7-4d96-a2c4-e905d02a3171,10.043878,-3.005742,10,"explain what a ""tool node"" is, which is a component in the LangChain ecosystem that allows language models to interact with external tools and APIs."
175e050a-e8d0-4b13-aee8-596b50594df3,9.928977,-3.814698,2,"provide information about the book ""Generative AI with LangChain - Second Edition: Build production-ready LLM applications and advanced agents using Python, LangChain, and LangGraph""."
1809c0a2-90d8-4781-88b4-4fe3cea804ad,9.810089,-3.2408998,10,"understand how to trace their use of LangChain and LangGraph in LangSmith, and whether they need to use the .invoke() method specifically or if there are other ways to enable tracing."
19171a89-3536-4178-a8ce-1e0335b3f1c7,7.9091506,-1.1232896,7,"help debug an issue with their multi-agent system, where the supervisor agent is not properly passing the full state to the sub-agents, causing the system to not respond as expected."
19fa46fe-c524-409a-a39b-2291117a9cd0,7.642692,-2.039069,0,"understand the licensing and organizational structure options for a cloud-based AI platform, including the ability to create multiple organizations and workspaces to separate different customer solutions."
1b78b29a-7f8b-4395-8ae6-a1d87486a121,9.557751,-2.5725584,2,learn how to create and use a chat model in LangChain from a simple string input. The assistant provides detailed steps and references on how to do this.
1bd141fc-cf00-4187-b763-8cee64b2bf0c,7.7792807,1.4434133,13,"build an AI-powered system that can understand natural language queries, retrieve relevant information from a knowledge base, and generate code to access engineering data, while providing safeguards and error handling."
1c30e16b-98a9-4cbf-8d83-b28df1b614cc,10.483088,-2.3581243,7,learn how to properly format docstrings for their tools.
1c4449a0-38fd-412d-94c1-1f9346b75479,8.601474,-0.941877,4,help them understand how to use Chroma DB and find the most appropriate text fragments to include in a response. The user is also seeking guidance on how to structure their agent tools and handle variables in their tool functions.
1c79e77d-968d-4d2b-8899-3d45d2df560f,10.441863,-3.0915248,7,"help with word puzzles and number-to-words conversions, particularly related to currency amounts in Indian Rupees."
20f0ad8c-91cb-4cf3-b5cd-20462d56565a,10.855934,-3.566899,2,convert a Pydantic model into a structured output JSON schema that can be used with LangChain's structured output features.
23ed05d5-e2e4-4a66-bb3c-4e3c8f4a9113,7.9469094,-1.2265074,0,"help refactor and debug their multi-agent AI system architecture, specifically related to routing and state handling between the supervisor and sub-agents."
24111746-c430-49f8-918f-09a757741b2a,7.7669134,-3.3008802,12,"help set up and integrate an MCP (Model Context Protocol) client within a FastAPI application, and to provide feedback and suggestions for improving the implementation."
24a6a094-39b6-4949-baab-22246b35926c,7.1292953,-1.451362,9,update a single value in the configuration called 'github_url' to 'None' while also performing the normal actions of updating the state.
269fc7bd-951d-4871-b875-200ef76e7f60,10.441116,-3.5231094,2,"learn how to run a machine learning model locally on their laptop using the Ollama platform, including steps for installation, model selection, pulling, running, and integrating with LangChain."
2a9853b1-5cfa-4a4c-a219-3f096c161e4e,1.1504658,3.4398825,1,learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links.
2b187d41-3346-4802-900a-fca62ceabe5b,8.908889,-4.2782164,4,explain Retrieval Augmented Generation (RAG) techniques and how the LangGraph framework can be used to implement them.
2b5d2406-53fa-407e-8e9c-992d1e1c785d,8.772754,0.06162815,7,check the weather for a specific location.
2dc709e1-a0ea-4621-9b26-19c239c450a3,10.578088,-4.6745343,6,understand the support and features available in LangChain and LangGraph for Postgres database and related management.
31950c92-0ddd-432c-a1fd-57e6aba2b8d2,9.312077,-0.34635147,5,consolidate and provide feedback on two emails related to a political campaign for the Congolese diaspora in Senegal.
31a3ca73-be1b-4ced-ad91-6fb82498c7e5,7.7082124,0.89619756,4,"create an agent that can take natural language as input and generate SQL queries as output, in order to query a CSV file and act as a retrieval-augmented generation (RAG) system."
3494e809-6620-48ca-ad20-018b603d8ed1,9.290866,-0.38918677,2,"help them fix an issue with their code that is not working, despite having access to an available API. The user is seeking guidance on the proper way to use the Ollama chat model in LangChain."
3607f2ec-ba4a-4914-9eec-e6e637eb3bd5,9.544476,-4.271278,2,"provide sample code and guidance on how to use FAISS in LangChain to create embeddings, persist them to disk, and load them back as a retriever for a question-answering chain."
36bf929b-1e2f-4948-a8aa-ef408d9ad0ac,10.253015,-1.9762163,10,"help resolve an issue with the ChatOpenAI tool not implementing the bind_tools() method, and to provide guidance on how to properly bind tools and pass arguments to the tool functions when using the ChatOpenAI model."
3931b7b2-bfd1-4f7c-ae03-b9019100edc1,9.106462,-1.0575414,10,"find a way to disable or turn off a ""think mode"" or multi-step reasoning functionality in a language model (LLM) interface, as the user is not able to determine how to do so based on the information provided."
397cd83c-9fbb-44e8-b795-38a5524d7ba6,7.970578,0.6487448,8,help troubleshoot and fix issues with retrieving data from Neo4j and Qdrant databases. The user is encountering errors and needs assistance to get the data retrieval working correctly.
39f154ce-bdc9-4a0c-8a9b-46d210c95926,10.733395,-4.3480024,6,"get guidance on how to install and set up LangChain, a machine learning library, including which additional packages to install and how to create a virtual environment in Visual Studio Code on Windows."
3b6a7049-2b9d-416e-8850-2c0c3adb98ba,7.573376,-2.5888712,3,understand how to set up multiple organizations within a self-hosted LangSmith deployment on a VPC like AWS.
3b83ac03-2d4f-431a-bd67-c6f71791d547,7.590983,1.56814,13,"build an AI-powered engineering data question-answering agent that can retrieve and analyze information from a knowledge graph, and rewrite user questions into Cypher queries to search the graph."
3ca21c7e-7361-4c06-9495-bf7dc82da3ce,9.033767,-2.0842626,5,"store their conversational states in a MongoDB database, and to be able to invoke the assistant's graph with a specific thread ID to maintain persistent conversation history."
3caf97fc-5eec-41a4-95f8-9a3f7fc977c8,7.97543,0.63293827,8,"help troubleshoot and diagnose issues with the code and setup of the retrievers, including the Neo4j and Qdrant components, as well as the LangGraph node functions and state handling."
3cc67151-4379-4f83-8690-4f5aad723024,0.7107015,3.6159947,1,learn how to use the RecursiveUrlLoader in LangChain to load content from a web page and its child links recursively.
3d8458ff-2b7d-4803-b9de-e4ff0d8b4a79,0.62403035,3.5381634,1,learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links recursively.
3e00beb9-96b3-46dc-956d-c44df800435f,7.991808,-1.8402604,0,"explain the instructions for deploying and configuring agents for the Open Agent Platform, including options for local development and production deployment."
3e66b02b-4f6f-45dc-9544-04e6eddd9226,1.1533942,3.1181505,9,"provide an example of how to integrate a third-party embedding model with a custom base URL in TypeScript, using the LangChain library."
3e69c252-a2cd-441a-9c50-bf5364349801,8.900673,-4.276529,4,explain the syntax of a Retrieval-Augmented Generation (RAG) chain used for AI response generation.
3f8c9e61-7406-46b6-b2b9-d79c2e58e44d,10.251348,-4.0047736,2,"get help on how to use DeepSeek, a specific AI model, with LangChain in the TypeScript programming language."
3fe9964d-51af-41fc-b3d1-7d975703df4e,10.613353,-4.732069,6,determine the latest recommended version of the LangChain library to install.
41d8f0bc-f6da-4df2-8908-9330aff1c1f7,7.898423,-0.99659425,7,help debug an issue with a multi-agent system that is not producing the expected response when invoked. The user is seeking guidance on how to identify and fix the problem.
44e54ef7-d507-4f2c-9c4e-2d4c53fc929e,1.2611209,3.4389975,1,learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links.
4694289b-c035-4943-964f-e6d546d3664f,9.101783,0.45376685,7,help debug and improve a tool that calculates discounts based on the current price and a proposed price from the customer. The user is seeking guidance on how to properly handle and validate the input variables for this tool.
497741e2-bbe2-409d-a9cc-2109688e9967,8.26475,-2.907905,3,"learn about the LangGraph framework, including how to quickly create a new LangGraph project, the components and structure of a LangGraph project, and the use of the Handoffs mechanism in LangGraph's multi-agent system."
4bc51f0a-090c-4232-aad5-0ba5ca2cebb5,10.188469,-3.6100025,2,"learn how the LangSmith platform works, including its key features and capabilities for building, monitoring, evaluating, and managing production-grade large language model applications."
4ce99d51-fbcd-4ec8-a797-0481d8503bb6,10.214674,-2.0084238,0,help resolve an issue where the agent keeps calling a tool function with string parameters instead of properly typed arguments. The user is seeking guidance on how to configure the agent and tools to pass structured arguments rather than strings.
4d0aa143-8b74-41f8-a73d-f7e4a919efe8,8.219651,-1.2938999,0,"learn how agents can internally perform multihop reasoning steps, such as through the use of tool-calling agents, planning and task decomposition, and memory management."
4e3e72d6-f184-4917-b701-69d15cc6a37a,10.172813,-3.1868644,10,"understand how the language model knows which tool to request a call for, based on the tool definitions and schemas provided to the model."
4fa6d3e4-930d-4791-bb6f-8768f8288b11,8.182921,1.352394,4,help create a summary for each stored procedure or database function in a Postgres database.
50817075-5185-4c33-9036-6873eada23c2,0.6281914,3.552456,1,learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links recursively.
508aa7e0-a83a-4db1-b69b-f72fa1158a8d,8.060859,-2.8965645,3,"learn how to manage multi-user applications using LangGraph, including how to handle authentication, authorization, thread and session management, and state persistence for concurrent, isolated interactions between multiple users."
519d26f0-adca-46b3-bb1f-02b5f8856aee,7.511294,1.5772201,13,"build an AI-powered system that can answer questions about engineering data and knowledge graphs, using large language models and graph databases."
5330e7ed-d88f-4b21-9127-dcf6172a5497,9.194542,-2.6788373e-05,7,"provide guidance on how to handle or respond to a potentially suspicious or fraudulent advertisement or message, particularly regarding unsolicited loan offers."
58891681-34c6-4afe-a9be-88b4d0fa075c,1.1526433,3.046014,9,learn how to inherit from the OpenAIEmbeddings class in TypeScript and add support for a custom base URL.
58d22557-1df6-4910-bbd7-4575e85b07b7,8.154126,1.3375728,4,"provide a comprehensive structure for prompt tuning when analyzing a database, including key components, an example structured prompt, best practices, and validation techniques."
59dfd4a6-7203-482e-9e67-34f52f5db860,7.7560587,-3.3326576,3,"help set up and configure an MCP (Model Context Protocol) client, including how to connect to multiple MCP servers, and whether the LangGraph platform is needed for this use case. The user also asks for suggestions on improving the current implementation of the MCP client."
5a894ad7-1969-41a5-a080-7c2986c433bc,9.062847,-1.0254415,5,"find information on how to turn off or disable a ""think mode"" feature, but the assistant does not have enough information to provide a specific answer."
5ac880e4-c7b5-4545-9bc1-d713fba0bf94,10.549731,-4.59581,6,"get help with installing and using the LangChain library, including understanding the different installation options and recommended packages to install."
5bd60eb4-1f58-49f4-bb1a-7cf8691628f8,8.111405,-0.15206009,4,help design a language model agent that can retrieve and answer questions based on local PDF documents.
5c3202cd-ef23-4c6d-8c04-5e129b09a801,10.561839,-4.648746,6,"get help with installing and using the LangChain library, including understanding the different installation options, recommended packages, and version requirements."
5c39d7e5-9948-4fd0-ac1f-a19f4f743359,9.003638,-4.320539,4,learn how to use SingleStoreDB as a tool for an agentic Retrieval Augmented Generation (RAG) system in LangChain.
5d591467-c759-4587-806d-765105d72d7f,8.753101,-2.8035593,11,"understand how to access the state of a graph after invoking it, including both the immediate state after invocation and the saved state checkpoints if persistence is enabled."
5fd635b8-860d-43a7-9cb0-1dcec69378ef,10.846651,-4.2439275,6,"get help with installing and setting up LangChain, a framework for building applications that use large language models, in the PyCharm IDE. The user is looking for step-by-step guidance on how to create a new project, install the necessary dependencies, and start developing with LangChain in PyCharm."
60266660-3896-4bb7-bb26-6f8e81509c80,7.247234,-1.3431246,7,"integrate a tenant_id field into the API model, while ensuring the agent does not need to reason about or provide that field. The user is concerned that adding the tenant_id to the model may obligate the agent to handle it, which the user does not want."
65170bd8-eab8-4bc7-a4e0-b237894d99b4,10.043028,-0.6994761,12,"help them implement a voice chat application with features like voice activity detection, packet logging, and client-side noise reduction, without using additional libraries."
65528c0d-5e5c-4dc1-a1ad-738c55c737b6,10.169237,-0.7662396,12,"implement a voice chat server and client that can distinguish between voice and noise packets, without using any external libraries."
65890e0a-75d1-4fff-9cff-404117c2d2a2,9.112178,-1.9567544,5,"extract the user's state from the conversation and update the memory, as part of a larger system for calling an AI agent."
665b62d0-b95b-49ab-a12f-4b22fb7db2a4,8.161687,-1.6311336,0,"help develop a full-stack web application based on agentic AI technology, including the backend implementation using LangGraph and the frontend integration."
682fc7bb-df99-44a1-a82f-f61cd4293cb7,7.2119856,-1.3591622,7,"modify the code to automatically pass a tenant ID from the FastAPI request body to the database and knowledge source tools, without requiring the agent to explicitly provide the tenant ID."
68532279-f2fd-422b-90f9-33d5c900d49e,9.355186,-2.9442363,10,"learn how to define a tool for LangGraph, a machine learning framework. The assistant provides a step-by-step guide on creating and integrating custom tools into LangGraph workflows."
68704e4f-85d6-4178-98e6-497b7440d40d,10.075522,-4.2003093,6,provide sample Python code for sanitizing text with excessive newline characters and whitespace before using the RecursiveCharacterTextSplitter from LangChain.
699aed9a-6216-4805-8def-62c12f0aec2c,10.893338,-4.3966193,6,get help installing and using the LangChain library in Visual Studio Code. The user had some initial confusion about the installation process but the assistant was able to clarify the steps and provide the recommended version to install.
69dac28e-7afd-4e1f-a87f-c32ebe2c454b,8.808428,-2.683419,11,transform the provided code and ensure that the graph fully completes all steps before retrieving the last message.
6aca9634-ba3a-49bb-a243-082e6a9820ef,8.111015,-2.8395655,3,"learn how to manage a multi-used application using the LangGraph system, including details on multi-agent systems, agent communication and control flow, graph-based representation, deployment and management, and observability."
6b38c61f-4e2e-47f4-a79a-8af1c7bf3b0b,10.200068,-4.70236,6,learn how to load a Chroma vector store from a persistent directory in LangChain.
6da76e7c-143d-4677-8748-5f22a01b4f56,9.507932,-1.9462013,2,"help them understand how to use the LangGraph library and its features, such as injecting state and configuration into tool functions, in order to build a more robust and modular conversational agent."
6e9ae84a-048f-45a0-ab8a-288f268ac015,7.3901095,-2.6342762,3,"understand the best way to set up and manage multiple organizations within the LangSmith platform, both for self-hosted and cloud-based deployments. The user is looking for documentation evidence and guidance on this capability."
6f119ad1-5468-4f69-a5fb-ab12f5b419ef,10.337117,-4.343309,6,"understand how to properly use LangChain's text splitting functionality, including how to preserve metadata when splitting documents into chunks and how to configure the chunk overlap."
70521c99-467f-4542-8170-0f3ccecbe4b8,10.8616905,-4.423764,6,get help choosing the right virtual environment to use for installing and using the LangChain library in Windows using Visual Studio Code.
721ed69f-d961-4e90-b432-d1d3eb3a8b67,8.043115,1.4079156,4,"build a system that can generate code to access data from a construction cost management system, understand user queries, and execute the generated code, while handling errors and supporting a multi-step interactive dialogue."
72d9bf39-1776-4490-acf4-fa04412fbb0d,10.359157,-2.973992,7,"help solve a word puzzle or find a common 7-letter word related to the provided clues of ""ring,"" ""tools,"" ""forest,"" ""light,"" and ""glass."""
7383c5ad-7ba4-4624-b08a-2267d2b5fc11,8.59818,-3.1082196,11,"learn how to access and work with the state in a LangGraph application, including defining the state schema, accessing the state in node functions, and retrieving the updated state after graph execution."
73ef481a-7d07-466d-acb6-847d6b8737e5,8.898011,-0.8512374,4,"implement a feature in their LLM application where the model asks clarification questions before answering any questions, to improve the accuracy and relevance of the responses."
74e43ec1-eb89-46d4-899b-0be3d858c06e,9.155022,0.37082636,7,"help debug and improve the code for an agent that handles price objections for a cleaning service, specifically related to capturing and using the ""precio_actual"" and ""precio_ofrecido"" variables correctly."
7520809d-43a6-4ada-8cf2-7dda86dd069e,9.497328,-2.701803,2,"learn how to use a swarm-agent system in LangChain, specifically how to create individual agents, combine them into a swarm, and invoke the swarm to handle complex tasks collaboratively."
7567a8e4-43af-44e1-87de-ab7adcfcec42,1.2257901,3.6072137,1,learn how to use the RecursiveUrlLoader to load content from a web page.
772e5913-64f9-4ee8-9263-78847cd2381b,8.904806,-3.0492084,11,validate whether the provided code is valid per LangGraph and to suggest improvements or optimizations to the code.
797a43e0-0dcb-4c3c-a2b5-f9ce7e186dd2,10.761182,-4.0090847,2,"learn about prompt templates in LangChain, a framework for building applications with large language models. The user is interested in understanding the different types of prompt templates and how to use them."
7a55116e-dfcb-41a0-97e7-c38021d50ef3,8.368105,-1.1992395,0,"have the AI agent use the actual images (not just the image URLs) returned by a tool, before generating its response to the tool message."
7bad01d2-b921-4e81-bf21-a5b3ea324757,8.996269,-3.176328,11,"learn how to create and call a subgraph in LangGraph, specifically to replace an eval_node with an eval_subgraph."
7dddb48f-588f-4120-8e7a-a6db3b5a075e,10.819212,-4.6437693,6,get help with LangChain.
7df31838-21f4-4fa4-86e4-af4773ff82c6,7.9160028,-2.0925624,7,provide instructions on how to create a Kafka topic.
